Location Name,Location Type,Value Category,Value Name,Secondary Value Name,METRIC
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Age Group - Rates (2017),20-24,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-24,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Age Group - Rates (2017),25-34,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Age Group - Rates (2017),35-44,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Age Group - Rates (2017),45-54,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Age Group - Rates (2017),55-64,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Age Group - Rates (2017),65-74,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Age Group - Rates (2017),75 and over,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Age Group - Rates (2017),65 and over,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Race - Rates (2017),White,,0.36
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Race - Rates (2017),Black,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Latino,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.36
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Gender - Rates (2017),Male,,0.29
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Gender - Rates (2017),Female,,0.41
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Veterans - Rates (2017),Veteran,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.35
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Generations 2017,Gen Z,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Generations 2017,Millennials,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Generations 2017,Gen X,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Generations 2017,Boomers,,
"Birmingham-Hoover, AL Metro Area",MSA,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Birmingham-Hoover, AL Metro Area",MSA,Organizations 2017,"Civic, political, professional or international",,
"Birmingham-Hoover, AL Metro Area",MSA,Organizations 2017,Educational or youth service,,
"Birmingham-Hoover, AL Metro Area",MSA,Organizations 2017,Environmental or animal care,,
"Birmingham-Hoover, AL Metro Area",MSA,Organizations 2017,Hospital or other health,,
"Birmingham-Hoover, AL Metro Area",MSA,Organizations 2017,Public safety,,
"Birmingham-Hoover, AL Metro Area",MSA,Organizations 2017,Religious,,
"Birmingham-Hoover, AL Metro Area",MSA,Organizations 2017,Social or community service,,
"Birmingham-Hoover, AL Metro Area",MSA,Organizations 2017,"Sport, hobby, cultural or arts",,
"Birmingham-Hoover, AL Metro Area",MSA,Organizations 2017,Other,,
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteer Rate,2017,,0.36
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-19,,
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Age Group - Rates (2017),20-24,,
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-24,,
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Age Group - Rates (2017),25-34,,0.33
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Age Group - Rates (2017),35-44,,0.35
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Age Group - Rates (2017),45-54,,0.52
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Age Group - Rates (2017),55-64,,0.37
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Age Group - Rates (2017),65-74,,0.31
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Age Group - Rates (2017),75 and over,,0.30
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Age Group - Rates (2017),65 and over,,0.30
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Race - Rates (2017),White,,0.37
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Race - Rates (2017),Black,,
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Latino,,
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.38
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Gender - Rates (2017),Male,,0.34
"Kansas City, MO-KS Metro Area",,Volunteer Rate,2017,,0.37
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Gender - Rates (2017),Female,,0.37
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Veterans - Rates (2017),Veteran,,
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.36
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Generations 2017,Gen Z,,
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Generations 2017,Millennials,,0.32
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Generations 2017,Gen X,,0.43
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Generations 2017,Boomers,,0.37
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Volunteering by Generations 2017,Long Civic and Silent Generations,,0.31
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Organizations 2017,"Civic, political, professional or international",,0.10
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Organizations 2017,Educational or youth service,,0.13
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Organizations 2017,Environmental or animal care,,0.04
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Organizations 2017,Hospital or other health,,0.04
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Organizations 2017,Public safety,,0.01
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Organizations 2017,Religious,,0.10
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Organizations 2017,Social or community service,,0.27
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Organizations 2017,"Sport, hobby, cultural or arts",,0.28
"Boston-Cambridge-Newton, MA-NH Metro Area",MSA,Organizations 2017,Other,,0.03
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteer Rate,2017,,0.23
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-19,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Age Group - Rates (2017),20-24,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-24,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Age Group - Rates (2017),25-34,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Age Group - Rates (2017),35-44,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Age Group - Rates (2017),45-54,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Age Group - Rates (2017),55-64,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Age Group - Rates (2017),65-74,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Age Group - Rates (2017),75 and over,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Age Group - Rates (2017),65 and over,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Race - Rates (2017),White,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Race - Rates (2017),Black,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Latino,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.23
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Gender - Rates (2017),Male,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Gender - Rates (2017),Female,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Veterans - Rates (2017),Veteran,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Veterans - Rates (2017),Non-Veteran,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Generations 2017,Gen Z,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Generations 2017,Millennials,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Generations 2017,Gen X,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Generations 2017,Boomers,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Organizations 2017,"Civic, political, professional or international",,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Organizations 2017,Educational or youth service,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Organizations 2017,Environmental or animal care,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Organizations 2017,Hospital or other health,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Organizations 2017,Public safety,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Organizations 2017,Religious,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Organizations 2017,Social or community service,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Organizations 2017,"Sport, hobby, cultural or arts",,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",MSA,Organizations 2017,Other,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteer Rate,2017,,0.33
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-19,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Age Group - Rates (2017),20-24,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-24,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Age Group - Rates (2017),25-34,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Age Group - Rates (2017),35-44,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Age Group - Rates (2017),45-54,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Age Group - Rates (2017),55-64,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Age Group - Rates (2017),65-74,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Age Group - Rates (2017),75 and over,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Age Group - Rates (2017),65 and over,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Race - Rates (2017),White,,0.42
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Race - Rates (2017),Black,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Latino,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.34
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Gender - Rates (2017),Male,,0.31
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Gender - Rates (2017),Female,,0.34
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Veterans - Rates (2017),Veteran,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.34
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Generations 2017,Gen Z,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Generations 2017,Millennials,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Generations 2017,Gen X,,0.41
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Generations 2017,Boomers,,0.36
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Organizations 2017,"Civic, political, professional or international",,0.02
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Organizations 2017,Educational or youth service,,0.08
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Organizations 2017,Environmental or animal care,,0.01
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Organizations 2017,Hospital or other health,,0.02
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Organizations 2017,Public safety,,0.01
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Organizations 2017,Religious,,0.27
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Organizations 2017,Social or community service,,0.30
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Organizations 2017,"Sport, hobby, cultural or arts",,0.24
"Charlotte-Concord-Gastonia, NC-SC Metro Area",MSA,Organizations 2017,Other,,0.06
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteer Rate,2017,,0.26
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-19,,
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Age Group - Rates (2017),20-24,,
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Age Group - Rates (2017),16-24,,0.22
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Age Group - Rates (2017),25-34,,0.18
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Age Group - Rates (2017),35-44,,0.28
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Age Group - Rates (2017),45-54,,0.36
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Age Group - Rates (2017),55-64,,0.25
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Age Group - Rates (2017),65-74,,0.30
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Age Group - Rates (2017),75 and over,,0.18
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Age Group - Rates (2017),65 and over,,0.25
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Race - Rates (2017),White,,0.28
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Race - Rates (2017),Black,,0.20
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Latino,,0.17
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.28
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Gender - Rates (2017),Male,,0.21
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Gender - Rates (2017),Female,,0.30
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Veterans - Rates (2017),Veteran,,
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.26
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Generations 2017,Gen Z,,0.26
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Generations 2017,Millennials,,0.18
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Generations 2017,Gen X,,0.31
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Generations 2017,Boomers,,0.29
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Volunteering by Generations 2017,Long Civic and Silent Generations,,0.21
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Organizations 2017,"Civic, political, professional or international",,0.06
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Organizations 2017,Educational or youth service,,0.14
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Organizations 2017,Environmental or animal care,,0.03
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Organizations 2017,Hospital or other health,,0.04
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Organizations 2017,Public safety,,0.00
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Organizations 2017,Religious,,0.19
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MSA,Organizations 2017,Social or community service,,0.27
